id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,tz_timezone
8945,Berdoba Airport,Berdoba,Chad,,N,16.072,22.8466,2953,1,N
8946,Zhytomyr Airport,Zhytomyr,Ukraine,ZTR,UKKV,50.270556,28.738611,0,+03:00,EEST
8947,Mozyr,Mozyr,Belarus,,UMGM,51.981944,29.165,0,3,N
8948,Paluknys,Paluknys,Lithuania,,EYVP,54.483056,24.989722,0,2,E
8949,Mattala Rajapaksa International Airport,Hambantota,Sri Lanka,HRI,VCRI,6.284467,81.124128,47,+05:30,+0530
8950,Pecos Municipal Airport,Pecos,United States,PEQ,KPEQ,31.382400512695,-103.51100158691,796,-05:00,CDT
8951,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,United States,HBG,KHBG,31.26479912,-89.25279999,46,-05:00,CDT
8952,Botucatu,Botucatu,Brazil,QCJ,SDBK,-22.938,-48.467,3012,-3,S
8953,Anapolis Military Airbase,Anapolis,Brazil,,SBAN,-16.23,-48.966,3731,-3,S
8954,Mário Pereira Lopes–São Carlos Airport,São Carlos,Brazil,QSC,SDSC,-21.875401,-47.903703,807,-03:00,-03
8955,Byron Airport,Byron Bay,Australia,,N,28.383504,153.365447,10,10,O
8956,Grindelwald,Grindelwald,Switzerland,,N,46.35106,7.57408,6000,1,U
8957,Grindelwald,Grindelwald,Switzerland,,N,46.3506,7.57408,6000,1,U
8958,Chan Gurney Municipal Airport,Yankton,United States,YKN,KYKN,42.916698455811,-97.385902404785,398,-05:00,CDT
8959,Selfield Airport,Selma Alabama,United States,SES,KSES,32.4404,-86.9522,131,-6,A
8960,Linkwasha Airfield,Hwange National Park,Zimbabwe,,N,-19.123333,27.201389,3543,2,N
8961,Sir Bani Yas Airport,Sir Bani Yas Island,United Arab Emirates,XSB,OMBY,24.283611,52.580278,7,+04:00,+04
8962,Delma Airport,Dalmā Island,United Arab Emirates,ZDY,OMDL,24.51,52.3352,9,+04:00,+04
8963,Bromont (Roland Desourdy) Airport,Bromont,Canada,ZBM,CZBM,45.2907981873,-72.7414016724,114,-04:00,EDT
8964,Playa del Carmen Airport,Playa del Carmen,Mexico,PCM,,20.622499465942,-87.08219909668,6,-05:00,EST
8965,Ellough,Beccles,United Kingdom,,EGSM,52.438333,1.606944,80,0,E
8966,Kratie Airport,Kratié,Cambodia,KTI,VDKT,12.487999916077,106.05500030518,0,+07:00,+07
8967,Caldera Airport,Caldera,Chile,,SCCL,-27.078052,-70.795305,180,-4,U
8968,San Pedro de Atacama Airport,San Pedro de Atacama,Chile,,SCPE,-22.918888,-68.162777,7959,-4,U
8969,Copacabana Airport,Copacabana,Bolivia,,SLCC,-16.183326,-69.087501,12591,-4,U
8970,Havelock Island Seaport,Havelock Island,India,,N,12.042636,92.982574,0,5.5,N
8971,Guyuan Liupanshan Airport,Guyuan,China,GYU,ZLGY,36.0788888889,106.216944444,1736,+08:00,CST
8972,Brawdy RAF Airport,Brawdy,United Kingdom,,EGDA,51.880462,-5.12148,355,0,E
8973,Gaios Bay,Paxi,Greece,,N,39.195944,20.195961,0,2,E
8974,Changhai Airport,Changhai,China,CNI,ZYCH,39.2666666667,122.666944444,24,+08:00,CST
8975,Redhill Aerodrome,Redhill,United Kingdom,KRH,EGKR,51.213612,-0.13861,221,0,E
8976,Bahnhof,Bad Gastein,Austria,,N,47.1,13.0167,3287,1,E
8977,Acquafredda Station,Maratea,Italy,,N,40,15.7167,1000,1,E
8978,Victoria Station,London,United Kingdom,,N,51.4964,-0.14391,48,0,E
8979,Jiagedaqi Airport,Jiagedaqi,China,JGD,ZYJD,50.371389,124.1175,367,+08:00,CST
8980,Chinchilla Airport,Chinchilla,Australia,CCL,YCCA,-26.77499961853,150.61700439453,313,+10:00,AEST
8981,Frazier Lake Airpark,Hollister,United States,1C9,N,54.013333333333335,-124.76833333333333,152,-8,A
8982,Hayward Executive Airport,Hayward,United States,HWD,KHWD,37.659198761,-122.122001648,15,-07:00,PDT
8983,Motueka Airport,Motueka,New Zealand,MZP,NZMK,-41.12329864502,172.98899841309,11,+12:00,NZST
8984,Shute Harbour,Shute Harbour,Australia,JHQ,YSHR,-20.278299,148.757004,12,10,O
8985,Enstone,Enstone,United Kingdom,,EGTN,51.928167,-1.4285,550,0,U
8986,Portoferrario Cruise Terminal,Portoferrario,Italy,,N,42.49,10.19,13,1,E
8987,Pittsburgh Amtrak,Pittsburgh,United States,,N,40.4406,-79.9961,1370,-5,A
8988,Raton Amtrak,Raton,United States,,N,36.9033,-104.4386,8800,-7,A
8989,Ann Arbor Municipal Airport,Ann Arbor,United States,ARB,KARB,42.2229995728,-83.7455978394,255,-04:00,EDT
8990,Myrdal Station,Myrdal,Norway,,N,60.4418,7.0723,2844,1,E
8991,Flam Station,Flam,Norway,,N,60.5017,7.0714,6,1,E
8992,Leikanger Terminal,Leikanger,Norway,,N,61.1351,6.4723,6,1,E
8993,North Sea,Gryphon FPSO,United Kingdom,,GRY1,59.35,1.57,0,0,U
8994,Shepparton Airport,Shepparton,Australia,SHT,YSHT,-36.428901672363,145.39300537109,113,+10:00,AEST
8995,Temora Airport,Temora,Australia,TEM,YTEM,-34.421398162842,147.5119934082,280,+10:00,AEST
8996,Gayndah Airport,Gayndah,Australia,GAH,YGAY,-25.614400863647,151.6190032959,112,+10:00,AEST
8997,Papondetta Airport,Eia,Papua New Guinea,EIA,NULL,-8.11676,147.63179,0,+10:00,+10
8998,Wilcannia Airport,Wilcannia,Australia,WIO,YWCA,-31.526399612427,143.375,76,+10:00,AEST
8999,Bollards Lagoon,Bollards Lagoon Station,Australia,,N,-28.9832259,140.852844,250,9.5,O
9000,Delamere Range,Delamere Range,Australia,,N,-15.7467,131.919998,200,9.5,U
9001,Ivanhoe,Ivanhoe,Australia,,YIVO,-32.883301,144.309998,331,10,O
9002,Menindee,Menindee,Australia,,YMED,-32.22,142.2418,164,10,O
9003,Naduri,Naduri,Papua New Guinea,,N,-8.93,147.73,900,10,U
9004,Pooncarie,Pooncarie,Australia,,YPCE,-33.366699,142.587977,184,10,O
9005,Wiawera Station,Wiawera station,Australia,,N,-32.29515,140.4145,180,9.5,O
9006,Tilpa,Tilpa,Australia,,YTLP,-30.556,144.251,280,10,O
9007,Yarramba Station,Yarramba Station,Australia,,N,-31.66136,140.6277,180,9.5,O
9008,Reichenbach,Reichenbach im Kandertal,Switzerland,,LSGR,46.61298,7.67773,2300,1,E
9009,Takayama Station,Takayama,Japan,,N,36.1406,137.2519,2200,9,N
9010,Himeji Station,Himeji,Japan,,N,34.49395,134.412706,141,9,U
9011,Miyajimaguchi Station,Miyajimaguchi,Japan,,N,34.3122,132.3022,6,9,U
9012,Miyajima Port,Miyajima,Japan,,N,34.302043,132.32213,0,9,U
9013,Brown Bluff Port,Brown Bluff,Antarctica,,N,-63.32,-56.54,0,12,S
9014,Devil Island Port,Devil Island,Antarctica,,N,-63.48,-57.17,0,12,S
9015,Gourdin Island Port,Gourdin Island,Antarctica,,N,-63.12,-57.18,0,12,S
9016,Cuverville Island Port,Cuverville Island,Antarctica,,N,-64.41,-62.38,0,12,S
9017,Neko Harbor,Neko Harbor,Antarctica,,N,-64.5,-62.33,0,12,S
9018,Port Lockroy,Port Lockroy,Antarctica,,N,-64.4931,-63.294,0,12,S
9019,Walker Bay,Walker Bay,Antarctica,,N,-62.38,-60.42,0,12,S
9020,Whalers Bay,Deception Island,Antarctica,,N,-62.5837,-60.39,0,12,S
9021,Labadee Port,Labadee,Haiti,,N,19.4711,-72.1444,0,-5,A
